
Opening Error Output File (ERROR.TXT) on Tue Mar 18 08:38:10.630, 2025


columns = 32, rows = 32
col_vstep = 129.032257, row_vstep = 129.032257
col_tstep=8.225806, row_tstep=8.225806
num_vertices = 1024, num_polys = 1922
Vertex 151: V[967.741943, 197.647064, -1483.870972], T[189.193542, 32.903225]
Vertex 152: V[1096.774170, 192.156860, -1483.870972], T[197.419342, 32.903225]
Vertex 153: V[1225.806396, 238.823532, -1483.870972], T[205.645157, 32.903225]
Vertex 154: V[1354.838623, 238.823532, -1483.870972], T[213.870956, 32.903225]
Vertex 155: V[1483.870972, 244.313721, -1483.870972], T[222.096771, 32.903225]
Vertex 156: V[1612.903198, 241.568634, -1483.870972], T[230.322571, 32.903225]
Vertex 157: V[1741.935425, 197.647064, -1483.870972], T[238.548386, 32.903225]
Vertex 158: V[1870.967773, 107.058823, -1483.870972], T[246.774185, 32.903225]
Vertex 159: V[2000.000000, 8.235294, -1483.870972], T[255.000000, 32.903225]
Vertex 160: V[-2000.000000, 2.745098, -1354.838745], T[0.000000, 41.129032]
Vertex 161: V[-1870.967773, 2.745098, -1354.838745], T[8.225806, 41.129032]
Vertex 162: V[-1741.935547, 2.745098, -1354.838745], T[16.451612, 41.129032]
Vertex 163: V[-1612.903198, 2.745098, -1354.838745], T[24.677418, 41.129032]
Vertex 164: V[-1483.870972, 5.490196, -1354.838745], T[32.903225, 41.129032]
Vertex 165: V[-1354.838745, 2.745098, -1354.838745], T[41.129032, 41.129032]
Vertex 166: V[-1225.806396, 2.745098, -1354.838745], T[49.354836, 41.129032]
Vertex 167: V[-1096.774170, 8.235294, -1354.838745], T[57.580643, 41.129032]
Vertex 168: V[-967.741943, 8.235294, -1354.838745], T[65.806450, 41.129032]
Vertex 169: V[-838.709717, 21.960785, -1354.838745], T[74.032257, 41.129032]
Vertex 170: V[-709.677429, 19.215687, -1354.838745], T[82.258064, 41.129032]
Vertex 171: V[-580.645142, 5.490196, -1354.838745], T[90.483871, 41.129032]
Vertex 172: V[-451.612915, 2.745098, -1354.838745], T[98.709671, 41.129032]
Vertex 173: V[-322.580658, 21.960785, -1354.838745], T[106.935478, 41.129032]
Vertex 174: V[-193.548401, 60.392159, -1354.838745], T[115.161285, 41.129032]
Vertex 175: V[-64.516144, 24.705883, -1354.838745], T[123.387093, 41.129032]
Vertex 176: V[64.516113, 13.725491, -1354.838745], T[131.612900, 41.129032]
Vertex 177: V[193.548370, 2.745098, -1354.838745], T[139.838699, 41.129032]
Vertex 178: V[322.580627, 2.745098, -1354.838745], T[148.064514, 41.129032]
Vertex 179: V[451.612885, 2.745098, -1354.838745], T[156.290314, 41.129032]
Vertex 180: V[580.645142, 2.745098, -1354.838745], T[164.516129, 41.129032]
Vertex 181: V[709.677368, 19.215687, -1354.838745], T[172.741928, 41.129032]
Vertex 182: V[838.709656, 109.803925, -1354.838745], T[180.967743, 41.129032]
Vertex 183: V[967.741943, 192.156860, -1354.838745], T[189.193542, 41.129032]
Vertex 184: V[1096.774170, 238.823532, -1354.838745], T[197.419342, 41.129032]
Vertex 185: V[1225.806396, 238.823532, -1354.838745], T[205.645157, 41.129032]
Vertex 186: V[1354.838623, 282.745087, -1354.838745], T[213.870956, 41.129032]
Vertex 187: V[1483.870972, 244.313721, -1354.838745], T[222.096771, 41.129032]
Vertex 188: V[1612.903198, 236.078430, -1354.838745], T[230.322571, 41.129032]
Vertex 189: V[1741.935425, 153.725494, -1354.838745], T[238.548386, 41.129032]
Vertex 190: V[1870.967773, 107.058823, -1354.838745], T[246.774185, 41.129032]
Vertex 191: V[2000.000000, 8.235294, -1354.838745], T[255.000000, 41.129032]
Vertex 192: V[-2000.000000, 2.745098, -1225.806396], T[0.000000, 49.354836]
Vertex 193: V[-1870.967773, 2.745098, -1225.806396], T[8.225806, 49.354836]
Vertex 194: V[-1741.935547, 2.745098, -1225.806396], T[16.451612, 49.354836]
Vertex 195: V[-1612.903198, 2.745098, -1225.806396], T[24.677418, 49.354836]
Vertex 196: V[-1483.870972, 2.745098, -1225.806396], T[32.903225, 49.354836]
Vertex 197: V[-1354.838745, 2.745098, -1225.806396], T[41.129032, 49.354836]
Vertex 198: V[-1225.806396, 2.745098, -1225.806396], T[49.354836, 49.354836]
Vertex 199: V[-1096.774170, 21.960785, -1225.806396], T[57.580643, 49.354836]
Vertex 200: V[-967.741943, 19.215687, -1225.806396], T[65.806450, 49.354836]
Vertex 201: V[-838.709717, 27.450981, -1225.806396], T[74.032257, 49.354836]
Vertex 202: V[-709.677429, 13.725491, -1225.806396], T[82.258064, 49.354836]
Vertex 203: V[-580.645142, 2.745098, -1225.806396], T[90.483871, 49.354836]
Vertex 204: V[-451.612915, 2.745098, -1225.806396], T[98.709671, 49.354836]
Vertex 205: V[-322.580658, 2.745098, -1225.806396], T[106.935478, 49.354836]
Vertex 206: V[-193.548401, 8.235294, -1225.806396], T[115.161285, 49.354836]
Vertex 207: V[-64.516144, 19.215687, -1225.806396], T[123.387093, 49.354836]
Vertex 208: V[64.516113, 10.980392, -1225.806396], T[131.612900, 49.354836]
Vertex 209: V[193.548370, 5.490196, -1225.806396], T[139.838699, 49.354836]
Vertex 210: V[322.580627, 5.490196, -1225.806396], T[148.064514, 49.354836]
Vertex 211: V[451.612885, 2.745098, -1225.806396], T[156.290314, 49.354836]
Vertex 212: V[580.645142, 10.980392, -1225.806396], T[164.516129, 49.354836]
Vertex 213: V[709.677368, 63.137257, -1225.806396], T[172.741928, 49.354836]
Vertex 214: V[838.709656, 148.235291, -1225.806396], T[180.967743, 49.354836]
Vertex 215: V[967.741943, 238.823532, -1225.806396], T[189.193542, 49.354836]
Vertex 216: V[1096.774170, 329.411774, -1225.806396], T[197.419342, 49.354836]
Vertex 217: V[1225.806396, 323.921570, -1225.806396], T[205.645157, 49.354836]
Vertex 218: V[1354.838623, 282.745087, -1225.806396], T[213.870956, 49.354836]
Vertex 219: V[1483.870972, 238.823532, -1225.806396], T[222.096771, 49.354836]
Vertex 220: V[1612.903198, 194.901962, -1225.806396], T[230.322571, 49.354836]
Vertex 221: V[1741.935425, 150.980392, -1225.806396], T[238.548386, 49.354836]
Vertex 222: V[1870.967773, 65.882355, -1225.806396], T[246.774185, 49.354836]
Vertex 223: V[2000.000000, 8.235294, -1225.806396], T[255.000000, 49.354836]
Vertex 224: V[-2000.000000, 2.745098, -1096.774170], T[0.000000, 57.580643]
Vertex 225: V[-1870.967773, 2.745098, -1096.774170], T[8.225806, 57.580643]
Vertex 226: V[-1741.935547, 2.745098, -1096.774170], T[16.451612, 57.580643]
Vertex 227: V[-1612.903198, 2.745098, -1096.774170], T[24.677418, 57.580643]
Vertex 228: V[-1483.870972, 2.745098, -1096.774170], T[32.903225, 57.580643]
Vertex 229: V[-1354.838745, 2.745098, -1096.774170], T[41.129032, 57.580643]
Vertex 230: V[-1225.806396, 2.745098, -1096.774170], T[49.354836, 57.580643]
Vertex 231: V[-1096.774170, 13.725491, -1096.774170], T[57.580643, 57.580643]
Vertex 232: V[-967.741943, 19.215687, -1096.774170], T[65.806450, 57.580643]
Vertex 233: V[-838.709717, 8.235294, -1096.774170], T[74.032257, 57.580643]
Vertex 234: V[-709.677429, 2.745098, -1096.774170], T[82.258064, 57.580643]
Vertex 235: V[-580.645142, 2.745098, -1096.774170], T[90.483871, 57.580643]
Vertex 236: V[-451.612915, 2.745098, -1096.774170], T[98.709671, 57.580643]
Vertex 237: V[-322.580658, 2.745098, -1096.774170], T[106.935478, 57.580643]
Vertex 238: V[-193.548401, 2.745098, -1096.774170], T[115.161285, 57.580643]
Vertex 239: V[-64.516144, 2.745098, -1096.774170], T[123.387093, 57.580643]
Vertex 240: V[64.516113, 8.235294, -1096.774170], T[131.612900, 57.580643]
